SalePrice,BedroomAbvGr,BldgType_2fam,BldgType_Twnhs,BsmtExposure,BsmtFinType1,CentralAir_0,Condition1_Pos,Condition1_RR,Condition1_St,ExterCond,ExterQual,Exterior1st_AsbShng,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_AsbShng,Exterior2nd_AsphShn,Exterior2nd_Brk Cmn,Exterior2nd_BrkFace,Exterior2nd_CBlock,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_ImStucc,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_Plywood,Exterior2nd_Stone,Exterior2nd_Stucco,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,Fence_GdPrv,Fence_GdWo,Fence_MnPrv,Fence_MnWw,Fireplaces,Foundation_BrkTil,Foundation_CBlock,Foundation_Slab,Foundation_Stone,Foundation_Wood,Functional_Maj1,Functional_Maj2,Functional_Min1,Functional_Min2,Functional_Mod,Functional_Sev,GarageArea,GarageCond,GarageFinish,GarageQual,GarageType_2Types,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_No,HeatingQC,HouseStyle_1.5,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_SFoyer,HouseStyle_SLvl,KitchenAbvGr,KitchenQual,LandContour_NoLvl,LandSlope_Slp,LotArea,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotFrontage,LotShape_IR,LowQualFinSF,MSSubClass_120,MSSubClass_150,MSSubClass_160,MSSubClass_180,MSSubClass_190,MSSubClass_20,MSSubClass_30,MSSubClass_40,MSSubClass_45,MSSubClass_50,MSSubClass_70,MSSubClass_75,MSSubClass_80,MSSubClass_85,MSSubClass_90,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RM,MiscFeature_1,MoSold,MoSold_1,MoSold_10,MoSold_11,MoSold_12,MoSold_3,MoSold_4,MoSold_5,MoSold_6,MoSold_7,MoSold_8,MoSold_9,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,OpenPorchSF,OverallCond,OverallQual,PavedDrive_0,PoolArea_1,RoofStyle_Flat,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,SaleCondition_Abnorml,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Partial,SaleType_COD,SaleType_Con,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleVremo,Street_0,TotRmsAbvGrd,WoodDeckSF,YearBuilt,YrSold,bathsF,bathsH,porchSF,totSF
208500,3,0,0,2,7,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548.0,3,3,3,0,0,0,0,0,0,3,0,0,0,0,0,1,2.0,0,0,91.92388155425118,0,0,0,0,65.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.810249675906654,5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,2003,2008,3.0,1.0,0,6584356.0
181500,3,0,0,3,6,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,460.0,3,3,3,0,0,0,0,0,0,3,0,1,0,0,0,1,1.0,0,0,97.97958971132712,0,0,1,0,80.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,8,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,6,298,1976,2007,2.0,1.0,0,6370576.0
223500,3,0,0,2,7,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,608.0,3,3,3,0,0,0,0,0,0,3,0,0,0,0,0,1,2.0,0,0,106.06601717798213,0,0,0,0,68.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.48074069840786,5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,2001,2008,3.0,1.0,0,7322436.0
140000,3,0,0,2,6,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,642.0,3,2,3,0,0,0,0,1,0,2,0,0,0,0,0,1,2.0,0,0,97.72410142846032,1,0,0,0,60.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.916079783099616,5,49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36,0,7,0,1915,2006,2.0,0.0,272,6115729.0
250000,4,0,0,3,7,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,836.0,3,3,3,0,0,0,0,0,0,3,0,0,0,0,0,1,2.0,0,0,119.41524190822544,0,0,1,0,84.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.16515138991168,5,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,192,2000,2008,3.0,1.0,0,11175649.0
143000,1,0,0,2,7,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,480.0,3,2,3,0,0,0,0,0,0,3,1,0,0,0,0,1,1.0,0,0,118.80656547514535,0,0,0,0,85.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.477225575051661,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,5,40,1993,2009,2.0,1.0,320,4656964.0
307000,3,0,0,3,7,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,636.0,3,3,3,0,0,0,0,0,0,3,0,1,0,0,0,1,2.0,0,0,100.41912168506553,0,0,0,0,75.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.54983443527075,5,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,255,2004,2007,3.0,0.0,0,11424400.0
200000,3,0,0,2,6,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,484.0,3,3,3,0,0,0,0,0,0,3,0,0,0,0,0,1,1.0,0,0,101.89209979188769,1,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.2828568570857,6,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,7,235,1973,2009,3.0,1.0,228,10220809.0
129900,2,0,0,2,2,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,468.0,3,2,3,0,0,0,0,1,0,2,1,0,0,0,0,2,1.0,0,0,78.23042886243178,0,0,0,0,51.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,5,49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,58,0,8,90,1931,2008,2.0,0.0,205,7431076.0
118000,2,1,0,2,7,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,205.0,3,3,4,0,0,0,0,0,0,3,1,0,0,0,0,2,1.0,0,0,86.13942186943211,1,0,0,0,50.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,5,0,1939,2008,2.0,0.0,0,4276624.0
